epoch,train_loss,val_loss,train_role_acc,val_role_acc,train_target_acc,val_target_acc,lr
0,0.319571,0.173899,0.956905,0.976725,0.890393,0.932039,0.00062434
1,0.128364,0.105796,0.985123,0.988633,0.936925,0.939950,0.00004759
2,0.095298,0.090876,0.990260,0.988092,0.945064,0.946782,0.00081871
3,0.083316,0.085469,0.989726,0.987551,0.952229,0.952535,0.00018129
4,0.073127,0.081796,0.991861,0.989445,0.957537,0.952895,0.00095241
5,0.065818,0.079121,0.991661,0.989175,0.962668,0.957929,0.00037566
6,0.056670,0.068574,0.992862,0.989175,0.966914,0.963682,0.00100000
7,0.051623,0.064392,0.992662,0.990528,0.970718,0.964042,0.00059369
8,0.046387,0.067299,0.994129,0.989175,0.972753,0.962603,0.00003511
9,0.040281,0.057598,0.993662,0.990528,0.975318,0.965120,0.00079389
10,0.037778,0.058574,0.994463,0.989445,0.977707,0.963682,0.00015773
